"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
949,"NCT01836562","A Clinical Trial to Study the Safety and Efficacy of Bone Marrow Derived Autologous Cells for the Treatment of Autism","BMCA","Unknown status","No Results Available","Autism","Biological: STEM CELL THERAPY","Improvement in childhood autism rating scale|Improvement in perfusion of brain with PET scan report","Chaitanya Hospital, Pune","All","3 Years to 70 Years   (Child, Adult, Older Adult)","Phase 1|Phase 2","100","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","00105","September 2014","June 2016","June 2016","April 22, 2013","null","September 17, 2014","Chaitanya Hospital, Pune, Maharashtra, India","","https://ClinicalTrials.gov/show/NCT01836562"
950,"NCT01991145","Allogeneic UCB Therapy With EPO in Children With CP",,"Completed","No Results Available","Cerebral Palsy","Procedure: Umbilical Cord Blood therapy|Biological: Erythropoietin alfa|Other: Rehabilitation|Procedure: Placebo UCB|Biological: Placebo EPO","Changes in Standardized Gross Motor Function|Changes in Motor Performance|Changes in Cognitive Neurodevelopmental Outcome|Changes in Motor Neurodevelopmental Outcome|Changes in Gross Motor Function Classification System|Changes in Functional Independence in Daily Activities|Changes in Functional Performance in Daily Activities|Changes in Upper Extremity Function|Changes in Visual Perception Test|Changes in Selective Movement of Lower Extremity|Changes in Spasticity|Changes in Dynamic Component of Spasticity|Changes in Muscle Strength|Changes in Brain MRI|Changes in Brain 18F-FDG PET|Changes in EEG|Changes in EP|Number of adverse events and participants with those adverse events","MinYoung Kim, M.D.|Ministry of Health & Welfare, Korea|LG Life Sciences|Chong Kun Dang Pharmaceutical|CHA University|Bundang CHA Hospital","All","10 Months to 6 Years   (Child)","Not Applicable","92","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","UCBnEPOinCP","November 2013","June 24, 2017","June 24, 2017","November 25, 2013","null","October 12, 2017","CHA Bundang Medical Center, CHA University, Seongnam-si, Gyeonggi-do, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT01991145"
951,"NCT00116077","Dopamine Receptor Imaging in Mood Disorders",,"Completed","No Results Available","Mood Disorders|Depressive Disorder, Major|Bipolar Disorder","","","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 55 Years   (Adult)","","145","NIH","Observational","","050169|05-M-0169","June 21, 2005","null","November 12, 2010","June 27, 2005","null","July 2, 2017","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00116077"
952,"NCT02025972","Allogeneic Umbilical Cord Blood Therapy in Children With CP",,"Completed","No Results Available","Cerebral Palsy","Procedure: Allogeneic umbilical cord blood therapy","Cytokine analysis|Changes in Standardized Gross Motor Function|Changes in Motor Performance|Changes in Cognitive Neurodevelopmental Outcome|Changes in Motor Neurodevelopmental Outcome|Changes in Gross Motor Function Classification System|Changes in Functional Independence in Daily Activities|Changes in Functional Performance in Daily Activities|Changes in Upper Extremity Function|Changes in Visual Perception Test|Changes in Selective Movement of Lower Extremity|Changes in Spasticity|Changes in Dynamic Component of Spasticity|Changes in Muscle Strength|Changes in Brain MRI|Changes in Brain 18F-FDG PET|Changes in EEG|Changes in EP|Number of adverse events and participants with those adverse events","MinYoung Kim, M.D.|CHA University|Bundang CHA Hospital","All","up to 15 Years   (Child)","Not Applicable","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","UCBCP","December 2013","November 15, 2015","November 15, 2015","January 1, 2014","null","October 12, 2017","CHA Bundang Medical Center, CHA University, Seongnam-si, Gyeonggi-do, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT02025972"
953,"NCT02286024","Study of Morphological and Perfusion Imaging Predictors of Pejorative Outcome in Major Depressive Disorder","LONGIDEP","Recruiting","No Results Available","Depressive Disorder","","Cortical thickness|Cerebral Blood Flow (after treatment of ASL data)","Rennes University Hospital","All","18 Years and older   (Adult, Older Adult)","","300","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","2013-A01733-42|829","November 2014","November 2018","May 2019","November 7, 2014","null","April 9, 2018","Centre Hospitalier Guillaume Regnier, Rennes, Britanny, France","","https://ClinicalTrials.gov/show/NCT02286024"
954,"NCT00594737","Open Label Pilot Study of the Effects of Memantine on FDG-PET in Frontotemporal Dementia",,"Completed","No Results Available","Frontotemporal Dementia","Drug: memantine hydrochloride","Metabolic activity in frontal and temporal lobes.|Behavioural inventories, UPDRS Motor scale.","Tiffany Chow, MD|H. Lundbeck A/S|Rotman Research Institute at Baycrest","All","40 Years to 80 Years   (Adult, Older Adult)","Phase 3","17","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Baycrest.Ebixa.FTD-001|Lundbeck 11627A","October 2007","June 2012","June 2012","January 16, 2008","null","June 4, 2012","Baycrest, Toronto, Ontario, Canada","","https://ClinicalTrials.gov/show/NCT00594737"
955,"NCT02218775","FASTMAS (Fast-Fail Trials in Mood and Anxiety Spectrum Disorders) Kappa Opioid Receptor Phase 1 Study","KOR1","Withdrawn","No Results Available","Anxiety Disorders","Drug: LY2456302","Primary: Kappa opioid receptor occupancy determined with LY2879788 PET imaging; Mu opioid receptor occupancy determined with [11C]-Carfentanil PET imaging|Peak PET Mu Occupancy|Reward Circuit Engagement Outcome|Clinical Anhedonia Outcome Utilizing the Snaith-Hamilton Pleasure Scale (SHAPS)|Anhedonia Outcome Utilizing the Snaith-Hamilton Pleasure Scale (SHAPS)|Behavioral Anhedonia Outcome as measured by the Probabilistic Reward Task (PRT)","Andrew Krystal|Yale University|Duke University","All","21 Years to 65 Years   (Adult, Older Adult)","Phase 1","0","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","Pro00052483|HHSN271201200006I","October 2014","April 2015","April 2015","August 18, 2014","null","May 28, 2015","Yale University, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT02218775"
956,"NCT01991977","18F-DOPA-PET in Finding Tumors in Patients With Newly Diagnosed Gliomas Undergoing Radiation Therapy",,"Recruiting","No Results Available","Malignant Glioma","Procedure: Diffusion Weighted Imaging|Drug: Fluorine F 18 Fluorodopa|Radiation: Intensity-Modulated Radiation Therapy|Procedure: Perfusion Magnetic Resonance Imaging|Procedure: Positron Emission Tomography|Other: Quality-of-Life Assessment|Drug: Temozolomide","Proportion of grade IV patients that experience confirmed progression-free survival|Overall survival|Progression free survival|Quality of life evaluated with the MD Anderson Symptom Inventory Brain Tumor Module and Mini-Mental Status Exam questionnaires|Rate of acute treatment-related toxicities graded using Common Terminology Criteria for Adverse Events version 4.0|Rate of late treatment-related toxicities using the Radiation Therapy Oncology Group/European Organization for Research and the Treatment of Cancer toxicity criteria","Mayo Clinic|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 2","150","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","MC1374|NCI-2013-02242|P30CA015083","December 2013","July 1, 2019","July 1, 2019","November 25, 2013","null","April 17, 2018","Mayo Clinic, Rochester, Minnesota, United States","","https://ClinicalTrials.gov/show/NCT01991977"
957,"NCT03560960","Multi-Center Development of a Novel Diagnostic Test for Alzheimer's Disease","DTAD","Enrolling by invitation","No Results Available","Alzheimer Disease|Mild Cognitive Impairment","Drug: Pramlintide challenge test","Plasma Aβ and t-tau changes|Plasma inflammatory changes|Plasma metabolic changes in blood|Change in MMSE|Change in CDR|Change in NAB|Change in WMS-III Logical Memory|Change in CLOX paradigm|Change in Trailmaking Test Part B|Change in Controlled Oral Word Association Test","Boston University","All","60 Years to 90 Years   (Adult, Older Adult)","Early Phase 1","240","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","H-37432","August 6, 2018","June 2023","June 2023","June 19, 2018","null","August 16, 2018","Indiana University Alzheimer Disease Center, Indianapolis, Indiana, United States|BU Alzheimer Disease Center, Boston, Massachusetts, United States|Memory Center VA Boston Healthcare, Jamaica Plain, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT03560960"
958,"NCT00103987","Neurobiological Mechanisms in Panic Disorder",,"Completed","No Results Available","Panic Disorder","","","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 60 Years   (Adult)","","54","NIH","Observational","","050102|05-M-0102","February 14, 2005","null","November 12, 2010","February 18, 2005","null","July 2, 2017","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00103987"
959,"NCT00267813","The Effects of Craving and Abstinence From Cigarettes on Brain Metabolism in Smokers",,"Completed","No Results Available","Nicotine Dependence","Drug: Bupropion (Zyban)","Brain metabolic activity (FDG) in response to craving and neutral cues.|Subjective ratings of craving","Tel-Aviv Sourasky Medical Center","All","20 Years to 65 Years   (Adult, Older Adult)","Not Applicable","24","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TASMC-O5-EE-065-CTIL","July 2004","October 2007","October 2007","December 21, 2005","null","May 7, 2008","Department of Nuclear Medicine, Tel Aviv, Israel","","https://ClinicalTrials.gov/show/NCT00267813"
960,"NCT00741559","Combined Role of Position Emission Tomography (PET) and Magnetoencephalography (MEG) in Nonlesional Epilepsy",,"Completed","No Results Available","Epilepsy","Device: magnetoencephalography|Device: Positron emission tomography (PET)|Device: Magnetic resonance imaging","The concordance rate of FDG-PET and MEG with video EEG|The positive and negative predictive values of each modality and combined modalities in assessing the epileptogenic zone.","The Hospital for Sick Children","All","up to 18 Years   (Child, Adult)","Phase 3","59","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","1000011429","March 2008","March 2011","June 2011","August 26, 2008","null","May 13, 2014","The Hospital for Sick Children, Toronto, Ontario, Canada","","https://ClinicalTrials.gov/show/NCT00741559"
961,"NCT00299988","Phase II Study of Intravenous Immunoglobulin (IVIg) for Alzheimer's Disease",,"Completed","No Results Available","Alzheimer's Disease","Drug: Intravenous Immunoglobulin","ADAS-Cog|ADCS-CGIC|3MS|ADCS-ADL|NPI|GDS|QOL|ADCS Pharmacoeconomic Assessment|Plasma and CSF anti-amyloid antibody titers|Plasma and CSF beta amyloid levels|FDG Cerebral Glucose Utilization|PIB Cerebral Amyloid Distribution (PET)|PK11195 Microglial Activation (PET)|Adverse Event Frequency and Severity","Weill Medical College of Cornell University|Baxter BioScience|National Institutes of Health (NIH)","All","50 Years and older   (Adult, Older Adult)","Phase 2","24","Other|Industry|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","0512008265","February 2006","January 2009","April 2010","March 7, 2006","null","November 10, 2010","Weill Medical College of Cornell University, New York City, New York, United States","","https://ClinicalTrials.gov/show/NCT00299988"
962,"NCT02511509","Bifrontal and Bitemporal Electroconvulsive Therapy (ECT) in Treatment of Patients With Schizophrenia","ESBECT","Recruiting","No Results Available","Schizophrenia","Device: Bifrontal electroconvulsive therapy|Device: Bitemporal electroconvulsive therapy","Positive and Negative Syndrome Scale|Clinical Global Impression|Memorial Delirium Assessment Scale|Confusion Assessment Method|Verbal Memory Test|Visual Memory Test|Finger Tapping Test|Symbol Digit Coding Test|Stroop Test|Shifting Attention Test|Continuous Performance Test|Positron Emission Tomography to assess the impact of ECT on the dopaminergic system activity|The concentration of brain-derived neurotrophic factor.|The concentration of neuron specific enolase.|The concentration of protein S100B","Medical Universtity of Lodz","All","18 Years to 64 Years   (Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","RNN/535/10/KB","September 2015","July 2018","July 2019","July 30, 2015","null","October 3, 2016","Department of Old Age Psychiatry and Psychotic Disorders Medical University of Lodz, Lodz, Poland","","https://ClinicalTrials.gov/show/NCT02511509"
963,"NCT01724749","Cardiovascular Molecular Calcification Assessed by 18F-NaF PET CT","CAMONA","Unknown status","No Results Available","Cardiovascular Disease|Atherosclerosis|Angina Pectoris","","Standardized uptake value (SUV) of 18F-NaF|Target to background ratio (TBR) of 18F-NaF|Standardized uptake value (SUV) of 18F-Fluorodeoxyglucose (18F-FDG)|Target to background ratio (TBR) of 18F-FDG|Correlation between the TBR of 18F-NaF/18F-FDG and traditional cardiovascular risk factors.|Correlation between the TBR of 18F-NaF/18F-FDG and blood markers of atherosclerosis.|Correlations between 18F-NaF TBR, 18F-FDG TBR, and CT calcification scoring|Correlation between 18F-NaF / 18F-FDG uptake and 18F-FDG uptake in the brain|Correlation between 18F-NaF TBR and 18F-NaF TBR two years after the baseline scan.|Correlation between 18F-FDG TBR and 18F-FDG TBR two years after the baseline scan.|Correlation between the TBR of 18F-NaF/18F-FDG and HeartSCORE|Correlation between the TBR of 18F-NaF/18F-FDG and Framingham Risk Score|Correlation between 18F-NaF / 18F-FDG uptake and 18F-NaF / 18F-FDG uptake in the vertebral body|Arterial Calcification Score","Odense University Hospital","All","21 Years to 80 Years   (Adult, Older Adult)","","144","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","s-20120056","November 2012","November 2014","December 2016","November 12, 2012","null","November 12, 2012","Department of Cardiology, Odense University Hospital, Odense, Region Syddanmark, Denmark|Department of Nuclear Medicine, Odense University Hospital, Odense, Region Syddanmark, Denmark","","https://ClinicalTrials.gov/show/NCT01724749"
